recipe_name,ingredient_name,quantity,unit
strawberry jam,strawberry,3.65,g
strawberry jam,brown sugar,0.03,g
strawberry jam,lemon,0.08,g
tropical curd,eggs,0.36,unit
tropical curd,water,0,g
tropical curd,brown sugar,0.24,g
tropical curd,lemon,0.26,g
tropical curd,starch,0.04,g
tropical curd,butter,0.11,g
mango puree,mango,1.32,g
mango puree,brown sugar,0.02,g
caramelized mixed nuts,mixed nuts,10.85,g
caramelized mixed nuts,brown sugar,1.22,g
caramelized mixed nuts,salt,0.01,g
traditional pancake batter,flour,0.23,g
traditional pancake batter,brown sugar,0.11,g
traditional pancake batter,eggs,0.24,unit
traditional pancake batter,baking powder,0.04,g
traditional pancake batter,salt,0,g
traditional pancake batter,whole milk,0.12,g
traditional pancake batter,butter,0.28,g
traditional pancake batter,vanilla extract,0.39,g
french toast milk,milk,0.09,g
french toast milk,brown sugar,0.02,g
french toast milk,cinnamon,0.02,g
french toast milk,eggs,0.12,unit
salted caramel,brown sugar,0.29,g
salted caramel,water,0,g
salted caramel,cream,0.36,g
salted caramel,butter,0.56,g
salted caramel,salt,0,g
salted caramel,vanilla extract,0.39,g
brigadeiro,condensed milk,1.1,g
brigadeiro,cocoa powder,0.34,g
brigadeiro,butter,0.14,g
granola,honey,1.08,g
granola,oats,0.34,g
granola,puffed rice,1.59,g
granola,mixed nuts,1.08,g
granola,goji berries,0.34,g
granola,cranberry,0.25,g
granola,cinnamon,0.05,g
granola,coconut flakes,0.48,g
granola,pumpkin seeds,0.3,g
granola,sunflower seeds,0.12,g
pate sucree,flour,0.05,g
pate sucree,butter,0.42,g
pate sucree,brown sugar,0.05,g
pate sucree,eggs,0,g
pate sucree,salt,0,g
meringues,egg whites,0,g
meringues,brown sugar,0.26,g
vegan beetroot pancake,banana,0.27,g
vegan beetroot pancake,beetroot,0.29,g
vegan beetroot pancake,oats,0.19,g
vegan beetroot pancake,soy milk,0.21,g
vegan beetroot pancake,vanilla extract,0.35,g
vegan beetroot pancake,agave syrup,0.49,g
vegan beetroot pancake,flour,0.02,g
classic gin,cucumber,0.05,g
classic gin,gin,0.65,g
classic gin,tonic water,0.39,g
mint rosemary lime gin,mint,0.02,g
mint rosemary lime gin,rosemary,0.03,g
mint rosemary lime gin,lime,0.16,g
mint rosemary lime gin,gin,0.65,g
mint rosemary lime gin,tonic water,0.39,g
grape cinnamon gin,grapes,0.14,g
grape cinnamon gin,cinnamon,0.05,g
grape cinnamon gin,gin,0.65,g
grape cinnamon gin,tonic water,0.39,g
mango basil gin,mango,0.2,g
mango basil gin,basil,0.06,g
mango basil gin,gin,0.65,g
mango basil gin,tonic water,0.39,g
gin bee tonic,lemon,0.05,g
gin bee tonic,lemon juice,0,ml
gin bee tonic,gin,0.65,g
gin bee tonic,tonic water,0.39,g
gin bee tonic,cinnamon,0.05,g
gin bee tonic,honey,0.03,g
tea gin,tea,0.08,unit
tea gin,orange,0.04,g
tea gin,cinnamon,0.05,g
mimosa,orange,0.09,g
mimosa,sparkling wine,0.28,g
sparkling sangria,sparkling wine,0.94,g
sparkling sangria,frozen red berries,0.33,g
sparkling sangria,sugar,0.12,g
sparkling sangria,water,0,g
sparkling sangria,cinnamon,0.14,g
sparkling sangria,tonic water,0.52,g
sparkling sangria,lemon,0.06,g
sparkling sangria,orange,0.23,g
sparkling sangria,mint,0.02,g
lemon coconut shake,lemon,0.42,g
lemon coconut shake,coconut milk,0.74,g
lemon coconut shake,cachaca,2.55,g
lemon coconut shake,condensed milk,1.1,g
