recipe_name,ingredient_name,quantity,unit
Herb Oil,Olive Oil,0.51,g
Herb Oil,Garlic,0.04,g
Herb Oil,Chives,0.3,g
Herb Oil,Parsley,0.1,g
Herb Oil,Cilantro,0.08,g
Herb Oil,Thyme,0.17,g
Herb Oil,Basil,0.21,g
Herb Oil,Lemon,0.04,g
Guacamole,Avocado,1.63,g
Guacamole,Red Onion,0.07,g
Guacamole,Tomato,0.14,g
Guacamole,Chili Pepper,0.06,g
Guacamole,Cilantro,0.04,g
Guacamole,Lime,0.08,g
Guacamole,Olive Oil,0.05,g
Guacamole,Salt,0,g
Orange Vinaigrette,Orange,0.25,g
Orange Vinaigrette,Olive Oil,0.2,g
Orange Vinaigrette,Black Pepper,0.06,g
Orange Vinaigrette,Salt,0,g
Caramelized Onion,Onion,1.48,g
Caramelized Onion,Olive Oil,0.38,g
Caramelized Onion,White Wine,0.21,g
Caramelized Onion,Vinegar,0.14,g
Caramelized Onion,Brown Sugar,0.3,g
Caramelized Onion,Worcestershire Sauce,0.19,g
Hummus,Chickpeas,0.24,g
Hummus,Olive Oil,0.13,g
Hummus,Lemon,0.03,g
Hummus,Tahini,0.15,g
Hummus,Salt,0,g
Hummus,Black Pepper,0.06,g
Hummus,Beetroot,0.14,g
Hummus,Olive Oil,0.04,g
Lemon Mayonnaise,Mayonnaise,0.31,g
Lemon Mayonnaise,Salt,0,g
Lemon Mayonnaise,Black Pepper,0.08,g
Lemon Mayonnaise,Lemon,0.06,g
Tzatziki Sauce,Greek Yogurt,0.3,g
Tzatziki Sauce,Cucumber,0.31,g
Tzatziki Sauce,Salt,0,g
Tzatziki Sauce,Black Pepper,0.06,g
Tzatziki Sauce,Olive Oil,0.03,g
Tzatziki Sauce,Mint,0.04,g
Hollandaise Sauce,Eggs,0.4,unit
Hollandaise Sauce,Lemon,0.21,g
Hollandaise Sauce,Butter,1.41,g
Hollandaise Sauce,Salt,0,g
Hollandaise Sauce,Black Pepper,0.06,g
Mornay Sauce,Whole Milk,0.3,g
Mornay Sauce,Flour,0.01,g
Mornay Sauce,Butter,0.18,g
Mornay Sauce,Emmental Cheese,2.02,g
Mornay Sauce,Parmesan Cheese,3.82,g
Mornay Sauce,Salt,0.01,g
Mornay Sauce,Black Pepper,0.47,g
Strawberry Jam,Strawberry,3.65,g
Strawberry Jam,Brown Sugar,0.03,g
Strawberry Jam,Lemon,0.08,g
Tropical Curd,Eggs,0.36,unit
Tropical Curd,Water,0,g
Tropical Curd,Brown Sugar,0.24,g
Tropical Curd,Lemon,0.26,g
Tropical Curd,Starch,0.04,g
Tropical Curd,Butter,0.11,g
Mango Puree,Mango,1.32,g
Mango Puree,Brown Sugar,0.02,g
Caramelized Mixed Nuts,Mixed Nuts,10.85,g
Caramelized Mixed Nuts,Brown Sugar,1.22,g
Caramelized Mixed Nuts,Salt,0.01,g
Traditional Pancake Batter,Flour,0.23,g
Traditional Pancake Batter,Brown Sugar,0.11,g
Traditional Pancake Batter,Eggs,0.24,unit
Traditional Pancake Batter,Baking Powder,0.04,g
Traditional Pancake Batter,Salt,0,g
Traditional Pancake Batter,Whole Milk,0.12,g
Traditional Pancake Batter,Butter,0.28,g
Traditional Pancake Batter,Vanilla Extract,0.39,g
French Toast Milk,Milk,0.09,g
French Toast Milk,Brown Sugar,0.02,g
French Toast Milk,Cinnamon,0.02,g
French Toast Milk,Eggs,0.12,unit
Salted Caramel,Brown Sugar,0.29,g
Salted Caramel,Water,0,g
Salted Caramel,Cream,0.36,g
Salted Caramel,Butter,0.56,g
Salted Caramel,Salt,0,g
Salted Caramel,Vanilla Extract,0.39,g
Brigadeiro,Condensed Milk,1.1,g
Brigadeiro,Cocoa Powder,0.34,g
Brigadeiro,Butter,0.14,g
Granola,Honey,1.08,g
Granola,Oats,0.34,g
Granola,Puffed Rice,1.59,g
Granola,Mixed Nuts,1.08,g
Granola,Goji Berries,0.34,g
Granola,Cranberry,0.25,g
Granola,Cinnamon,0.05,g
Granola,Coconut Flakes,0.48,g
Granola,Pumpkin Seeds,0.3,g
Granola,Sunflower Seeds,0.12,g
Pate Sucree,Flour,0.05,g
Pate Sucree,Butter,0.42,g
Pate Sucree,Brown Sugar,0.05,g
Pate Sucree,Eggs,0,g
Pate Sucree,Salt,0,g
Meringues,Egg Whites,0,g
Meringues,Brown Sugar,0.26,g
Vegan Beetroot Pancake,Banana,0.27,g
Vegan Beetroot Pancake,Beetroot,0.29,g
Vegan Beetroot Pancake,Oats,0.19,g
Vegan Beetroot Pancake,Soy Milk,0.21,g
Vegan Beetroot Pancake,Vanilla Extract,0.35,g
Vegan Beetroot Pancake,Agave Syrup,0.49,g
Vegan Beetroot Pancake,Flour,0.02,g
Classic Gin,Cucumber,0.05,g
Classic Gin,Gin,0.65,g
Classic Gin,Tonic Water,0.39,g
Mint Rosemary Lime Gin,Mint,0.02,g
Mint Rosemary Lime Gin,Rosemary,0.03,g
Mint Rosemary Lime Gin,Lime,0.16,g
Mint Rosemary Lime Gin,Gin,0.65,g
Mint Rosemary Lime Gin,Tonic Water,0.39,g
Grape Cinnamon Gin,Grapes,0.14,g
Grape Cinnamon Gin,Cinnamon,0.05,g
Grape Cinnamon Gin,Gin,0.65,g
Grape Cinnamon Gin,Tonic Water,0.39,g
Mango Basil Gin,Mango,0.2,g
Mango Basil Gin,Basil,0.06,g
Mango Basil Gin,Gin,0.65,g
Mango Basil Gin,Tonic Water,0.39,g
Gin Bee Tonic,Lemon,0.05,g
Gin Bee Tonic,Lemon Juice,0,ml
Gin Bee Tonic,Gin,0.65,g
Gin Bee Tonic,Tonic Water,0.39,g
Gin Bee Tonic,Cinnamon,0.05,g
Gin Bee Tonic,Honey,0.03,g
Tea Gin,Tea,0.08,unit
Tea Gin,Orange,0.04,g
Tea Gin,Cinnamon,0.05,g
Mimosa,Orange,0.09,g
Mimosa,Sparkling Wine,0.28,g
Sparkling Sangria,Sparkling Wine,0.94,g
Sparkling Sangria,Frozen Red Berries,0.33,g
Sparkling Sangria,Sugar,0.12,g
Sparkling Sangria,Water,0,g
Sparkling Sangria,Cinnamon,0.14,g
Sparkling Sangria,Tonic Water,0.52,g
Sparkling Sangria,Lemon,0.06,g
Sparkling Sangria,Orange,0.23,g
Sparkling Sangria,Mint,0.02,g
Lemon Coconut Shake,Lemon,0.42,g
Lemon Coconut Shake,Coconut Milk,0.74,g
Lemon Coconut Shake,Cachaca,2.55,g
Lemon Coconut Shake,Condensed Milk,1.1,g
